1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,target
107.9411248,806,36.06505712,28.21171159,14.93406709,0.869302697,0.792171077,0.782245027,14.45569035,33,36,0.782409508,2.833377384,5.443459726,7.30601849,13.71376191,8.783887168,14.10614257,696778,220.0736389,17010,87666,7793143.839,141725602,7477014.839,171.2686916,71.18107477,155.7978972,25.76598045,35.18181968,25.15034318,25.13200935,151.5011682,171.2686916,1.54907379,39.23137094,25.76598045,163.2453271,123.2558411,172.8773364,24.30776388,2.180781283,11.62036363,4
100.0832601,717,32.60811079,28.47087337,14.32807044,0.899510284,0.772311902,0.873122444,13.97023563,34,34,0.794158805,3.399473344,6.067075777,8.310469613,15.57389795,10.08537531,15.76734757,701464,248.7268399,14922,124669,7115684.013,338667987,6798582.013,174.0446781,58.97371879,158.653088,24.88925487,22.33485089,23.28564596,26,170.1537451,174.0446781,0.847040143,23.90165494,24.88925487,165.5256242,121.847569,179.7871222,22.48087961,1.527805363,6.786737646,4
102.6690464,751.5,34.47986518,28.16904391,14.63927106,0.895900528,0.773733355,0.816970825,14.0265244,34,35,0.788920383,3.011458256,4.918689297,7.108394594,13.1787241,8.69673741,13.44096243,716868,259.3064579,17684,125919,7263386.838,219300689,6948987.838,167.574655,84.56963614,151.9560853,27.20291353,45.71639958,27.81917465,23.7076537,132.0138018,167.574655,3.127745131,45.82927305,27.20291353,160.1141782,125.0564617,165,26.84933122,2.987733018,12.14250392,4
103.3553382,734.5,33.40839901,26.89115878,14.21310235,0.864043961,0.817573148,0.804922103,14.54367044,33,36,0.784072564,2.850707458,5.059964839,6.71428266,12.60407045,8.143423574,13.55834342,514922,235.7962888,14920,90608,5706208.238,180036440,5437642.238,157.5537084,59.3887468,146.5690537,22.6217435,26.21711973,22.71461361,26.44501279,160.3976982,157.5537084,1.654697858,35.31258508,22.6217435,153.2531969,121.2710997,173.7774936,21.83183423,2.1546734,9.576805145,4
111.0121926,866.5,35.0808841,29.05770662,15.61089786,0.883562082,0.850034794,0.828305995,14.22239689,34,38,0.785908305,2.950864057,4.390976112,6.644811703,12.29476596,8.20521189,12.33339056,691114,291.5571429,16844,111909,7264997.981,309238355,6940922.981,163.8985823,53.89422028,152.2300981,23.32337668,31.35414797,22.83033169,26.73500545,174.12759,163.8985823,1.04354814,40.67433327,23.32337668,158.6837514,120.7295529,178.1842966,22.02660946,1.744575365,9.537154222,4
115.0121921,916.5,38.4094201,28.72536389,15.93744077,0.870671986,0.830671251,0.747872887,14.43295618,34,39,0.776063877,2.61288893,5.053963306,6.732650081,12.65135122,8.053130566,13.10453802,614768,263.8392955,17856,97629,8342563.097,199430759,8053603.097,168.9442724,63.56759546,155.3281734,24.08231049,34.82422058,23.82070196,25.7997936,160.5923633,168.9442724,1.707495755,45.53017557,24.08231049,162.252838,122.0794634,175.5490196,22.86603546,2.242032406,13.15619909,4
111.5979789,890,35.15887982,29.17432797,15.95010964,0.898022487,0.867669069,0.82978548,13.99338079,34,37,0.78765498,3.011475564,5.86083043,8.112205004,15.2970713,9.677039584,15.21006237,703376,225.7718045,18170,92767,9316313.11,175490011,8996540.11,174.7917109,81.20935175,158.7832094,28.02342984,48.05013939,27.79746421,24.4250797,142.6865037,174.7917109,2.099533909,50.78422733,28.02342984,166.4410202,124.2656748,169.3613177,27.09910133,2.285560016,13.01650844,4
118.911687,971,39.39230412,33.17871558,16.33144772,0.862938833,0.742930651,0.842263897,14.56229589,37,38,0.786141917,2.964395516,4.300577203,6.378469606,11.72006834,7.866623825,12.72886339,945006,328.7342342,22176,223572,7216192.025,792478958,6834100.025,166.421875,66.91601563,138.6982422,24.34488825,31.00646948,23.28181117,21.36230469,154.9677734,166.421875,1.937647414,38.82163158,24.34488825,150.1650391,130.1171875,169.1015625,22.87446867,1.989213466,9.820132258,4
111.84062,872.5,36.82172546,29.3910412,15.60256014,0.876548937,0.806206561,0.798198369,14.3361883,34,38,0.783522858,2.811382444,5.140081638,7.107831409,13.27190664,8.730402985,13.61824224,665754,249.6296846,16244,108882,8552282.097,285512764,8243922.097,175.5742145,55.17659805,159.9382449,23.90622856,27.15838171,23.2314997,26.02925244,176.4377031,175.5742145,0.817078128,31.7389673,23.90622856,166.7605634,121.7291441,181.539545,22.19089065,1.675871088,8.762875165,4
111.8406196,886.5,37.3963094,31.04773156,15.85291647,0.890613913,0.763519478,0.830235177,14.10978475,35,37,0.787256273,2.955913577,5.756309205,7.274119341,13.79968795,8.845431787,14.45530619,715322,296.9388436,16676,96795,8367795.49,274421113,8043500.49,172.2113127,54.24973319,159.1248666,23.71428472,26.69823385,22.32935743,26.70117396,175.8858058,172.2113127,0.76078423,34.35070525,23.71428472,165.4204909,120.6755603,181.1995731,21.48485671,1.66493446,9.560216382,4
106.426406,793,33.91712807,29.04451669,14.90231663,0.879800609,0.80498903,0.856337737,14.2832029,34,36,0.789369583,3.132911745,4.683685083,7.437749022,13.51462965,9.009398086,14.07060614,631626,226.7146718,15572,89482,7663477.208,217318986,7362787.208,177.9845422,61.84066587,154.2687277,25.32755215,29.93736325,23.94209393,23.80618312,169.1557669,177.9845422,0.921023992,31.79992063,25.32755215,163.5255648,126.2401902,177.6016647,23.21500858,1.431546053,7.640367609,4
102.0832599,735,35.20711504,27.0019421,14.40001035,0.886315088,0.773146685,0.766945604,14.17822035,35,34,0.779927477,2.697142314,4.44248104,6.247421002,11.80298195,7.711943093,11.69586924,571612,203.9671362,14054,74690,6073435.009,124261906,5779522.009,175.8128205,51.01794872,143.6192308,22.39627578,28.83898156,22.38159476,22.17307692,183.5961538,175.8128205,1.071564047,32.76532306,22.39627578,155.5858974,130.4846154,178.7961538,21.48515423,2.055266963,7.406216071,4
